HP:0000001	All
HP:0000037	Male pseudohermaphroditism
HP:0000039	Epispadias
HP:0000040	Long penis
HP:0000040	Synonym('Enlarged penis', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0000040	Synonym('Long penis', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0000041	Chordee
HP:0000042	Absent external genitalia
HP:0000042	Synonym('Absent external genitalia', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0000044	Hypogonadotropic hypogonadism
HP:0000044	Synonym('Low gonadotropins (secondary hypogonadism)', scope='EXACT')
HP:0000044	Synonym('Isolated hypogonadotropic hypogonadism', scope='RELATED')
HP:0000044	Synonym('Hypogonadotrophic hypogonadism', scope='EXACT')
HP:0000045	Abnormal scrotum morphology
HP:0000045	Synonym('Abnormality of the scrotum', scope='EXACT')
HP:0000046	Small scrotum
HP:0000046	Synonym('Smaller than typical growth of scrotum', scope='EXACT', type=SynonymType('layperson', 'layperson term'), xrefs={Xref('https://orcid.org/0000-0002-6548-5200'), Xref('https://orcid.org/0000-0001-5208-3432')})
HP:0000046	Synonym('Underdeveloped scrotum', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0000046	Synonym('Hypoplastic scrotum', scope='EXACT')
HP:0000046	Synonym('Scrotal hypoplasia', scope='EXACT')
HP:0000047	Hypospadias
HP:0000047	Synonym('Hypospadia', scope='EXACT', xrefs={Xref('https://orcid.org/0000-0001-5208-3432')})
HP:0000048	Bifid scrotum
HP:0000048	Synonym('Cleft of scrotum', scope='EXACT', type=SynonymType('layperson', 'layperson term'), xrefs={Xref('https://orcid.org/0000-0001-5208-3432')})
HP:0000048	Synonym('Scrotal cleft', scope='EXACT')
HP:0000049	Shawl scrotum
HP:0000049	Synonym('Scrotum surrounds penis', scope='EXACT', type=SynonymType('layperson', 'layperson term'), xrefs={Xref('https://orcid.org/0000-0002-6548-5200')})
HP:0000049	Synonym('Overriding scrotum', scope='EXACT')
HP:0000050	Hypoplastic male external genitalia
HP:0000050	Synonym('Hypoplastic male genitalia', scope='EXACT')
HP:0000050	Synonym('Underdeveloped male genitalia', scope='EXACT', type=SynonymType('layperson', 'layperson term'), xrefs={Xref('https://orcid.org/0000-0001-5208-3432')})
HP:0000050	Synonym('Small male external genitalia', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0000051	Perineal hypospadias
HP:0000052	Urethral atresia, male
HP:0000053	Macroorchidism
HP:0000053	Synonym('Large testicles', scope='EXACT')
HP:0000053	Synonym('Large testis', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0000054	Micropenis
HP:0000054	Synonym('Short penis', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0000054	Synonym('Small penis', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0000055	Abnormal female external genitalia morphology
HP:0000055	Synonym('Abnormality of female external genitalia', scope='EXACT')
HP:0000055	Synonym('Abnormal female external genitalia', scope='EXACT', type=SynonymType('layperson', 'layperson term'), xrefs={Xref('https://orcid.org/0000-0002-5316-1399')})
HP:0000056	Abnormal clitoris morphology
HP:0000056	Synonym('Abnormality of the clitoris', scope='EXACT')
HP:0000056	Synonym('Abnormality of the clit', scope='EXACT', type=SynonymType('layperson', 'layperson term'), xrefs={Xref('https://orcid.org/0000-0001-5208-3432')})
HP:0000057	obsolete Clitoromegaly
HP:0000058	Abnormal labia morphology
HP:0000058	Synonym('Abnormality of the labia', scope='EXACT')
HP:0000059	Hypoplastic labia majora
HP:0000059	Synonym('Hypoplasia of labia majora', scope='EXACT')
HP:0000059	Synonym('Small labia majora', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0000059	Synonym('Underdeveloped vaginal lips', scope='EXACT', type=SynonymType('layperson', 'layperson term'), xrefs={Xref('https://orcid.org/0000-0001-5208-3432')})
HP:0000060	Clitoral hypoplasia
HP:0000060	Synonym('Underdeveloped clit', scope='EXACT', type=SynonymType('layperson', 'layperson term'), xrefs={Xref('https://orcid.org/0000-0001-5208-3432')})
HP:0000060	Synonym('Hypoplastic clitoris', scope='EXACT')
HP:0000060	Synonym('Small clitoris', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0000061	Ambiguous genitalia, female
HP:0000061	Synonym('Ambiguous genitalia due to virilization', scope='RELATED')
HP:0000061	Synonym('Atypical appearance of female genitals', scope='EXACT', type=SynonymType('layperson', 'layperson term'), xrefs={Xref('https://orcid.org/0000-0002-6548-5200')})
HP:0000062	Ambiguous genitalia
HP:0000062	Synonym('Ambiguous external genitalia', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0000062	Synonym('Intersex genitalia', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0000062	Synonym('Ambiguous external genitalia at birth', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0000063	Fused labia minora
HP:0000063	Synonym('Fused inner lips', scope='EXACT', type=SynonymType('layperson', 'layperson term'), xrefs={Xref('https://orcid.org/0000-0001-5208-3432')})
HP:0000064	Hypoplastic labia minora
HP:0000064	Synonym('Underdeveloped inner lips', scope='EXACT', type=SynonymType('layperson', 'layperson term'), xrefs={Xref('https://orcid.org/0000-0001-5208-3432')})
HP:0000065	Labial hypertrophy
HP:0000065	Synonym('Enlargement of the vaginal lips', scope='EXACT', type=SynonymType('layperson', 'layperson term'), xrefs={Xref('https://orcid.org/0000-0001-5208-3432')})
HP:0000065	Synonym('Enlarged vaginal lips', scope='EXACT')
HP:0000065	Synonym('Enlargement of the labia', scope='EXACT', type=SynonymType('layperson', 'layperson term'), xrefs={Xref('https://orcid.org/0000-0001-5208-3432')})
HP:0000066	Labial hypoplasia
HP:0000066	Synonym('Hypoplastic labia', scope='EXACT')
HP:0000066	Synonym('Underdeveloped labia', scope='EXACT', type=SynonymType('layperson', 'layperson term'), xrefs={Xref('https://orcid.org/0000-0001-5208-3432')})
HP:0000067	Urethral atresia, female
HP:0000068	Urethral atresia
HP:0000068	Synonym('Absent urethral opening', scope='EXACT')
HP:0000068	Synonym('Urethral opening absent', scope='EXACT')
HP:0000069	Abnormality of the ureter
HP:0000069	Synonym('Ureteral anomalies', scope='EXACT')
HP:0000069	Synonym('Abnormality of the ureters', scope='EXACT')
HP:0000069	Synonym('Ureter issue', scope='EXACT')
HP:0000070	Ureterocele
HP:0000071	Ureteral stenosis
HP:0000071	Synonym('Narrowing of the ureter', scope='EXACT', type=SynonymType('layperson', 'layperson term'), xrefs={Xref('https://orcid.org/0000-0001-5208-3432')})
HP:0000072	Hydroureter
HP:0000072	Synonym('Swelling of ureter', scope='EXACT', xrefs={Xref('https://orcid.org/0000-0002-6548-5200'), Xref('https://orcid.org/0000-0001-5208-3432')})
HP:0000072	Synonym('Uroureter', scope='RELATED')
HP:0000072	Synonym('Ureteral dilatation', scope='EXACT')
HP:0000072	Synonym('Megaureter', scope='EXACT')
HP:0000072	Synonym('Dilated ureter', scope='EXACT')
HP:0000072	Synonym('Wide ureter', scope='EXACT')
HP:0000073	Ureteral duplication
HP:0000073	Synonym('Double ureter', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0000074	Ureteropelvic junction obstruction
HP:0000074	Synonym('Pelviureteric junction obstruction', scope='EXACT')
HP:0000074	Synonym('Ureteropelvic junction stenosis', scope='EXACT')
HP:0000075	Renal duplication
HP:0000075	Synonym('Supernumerary kidney', scope='RELATED')
HP:0000075	Synonym('Extra kidney', scope='EXACT', type=SynonymType('layperson', 'layperson term'), xrefs={Xref('https://orcid.org/0000-0001-5208-3432')})
HP:0000076	Vesicoureteral reflux
HP:0000076	Synonym('Vesico-ureteral reflux', scope='EXACT')
HP:0000076	Synonym('Ureteric reflux', scope='EXACT')
HP:0000076	Synonym('VUR', scope='EXACT', type=SynonymType('abbreviation', 'abbreviation'))
HP:0000076	Synonym('Ureteral reflux', scope='EXACT')
HP:0000076	Synonym('Vesicoureteric reflux', scope='EXACT')
HP:0000077	Abnormality of the kidney
HP:0000077	Synonym('Renal anomaly', scope='EXACT')
HP:0000077	Synonym('Abnormality of the kidney', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0000077	Synonym('Abnormal kidney', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0000077	Synonym('Renal anomalies', scope='EXACT')
HP:0000078	Abnormality of the genital system
HP:0000078	Synonym('Genital defects', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0000078	Synonym('Genital anomalies', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0000078	Synonym('Genital abnormality', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0000078	Synonym('Genital abnormalities', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0000078	Synonym('Abnormality of the reproductive system', scope='RELATED', type=SynonymType('layperson', 'layperson term'))
HP:0000079	Abnormality of the urinary system
HP:0000079	Synonym('Urinary tract abnormalities', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0000079	Synonym('Urinary tract abnormality', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0000079	Synonym('Urinary tract anomalies', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0000080	Abnormality of reproductive system physiology
HP:0000080	Synonym('Abnormality of genital physiology', scope='BROAD', type=SynonymType('layperson', 'layperson term'))
HP:0000080	Synonym('Genital functional abnormality', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0000080	Synonym('Abnormality of reproductive system physiology', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0000081	Duplicated collecting system
HP:0000081	Synonym('Duplex collecting system', scope='EXACT')
HP:0000081	Synonym('Duplicated renal collecting system', scope='EXACT')
HP:0000081	Synonym('Double urinary collecting systems on intravenous pyelography', scope='EXACT')
HP:0000081	Synonym('Double collecting system', scope='EXACT')
HP:0000083	Renal insufficiency
HP:0000083	Synonym('Renal failure', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0000083	Synonym('Renal failure in adulthood', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0000085	Horseshoe kidney
HP:0000085	Synonym('Horseshoe kidney', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0000085	Synonym('Horseshoe kidneys', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0000085	Synonym('Fused kidneys', scope='BROAD')
HP:0000086	Ectopic kidney
HP:0000086	Synonym('Ectopic kidneys', scope='EXACT')
HP:0000086	Synonym('Displaced kidney', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0000086	Synonym('Abnormal kidney location', scope='EXACT', type=SynonymType('layperson', 'layperson term'), xrefs={Xref('https://orcid.org/0000-0001-5208-3432')})
HP:0000086	Synonym('Renal ectopia', scope='EXACT')
HP:0000089	Renal hypoplasia
HP:0000089	Synonym('Hypoplastic kidneys', scope='EXACT')
HP:0000089	Synonym('Hypoplastic kidney', scope='EXACT')
HP:0000089	Synonym('Small kidneys', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0000089	Synonym('Underdeveloped kidneys', scope='EXACT', type=SynonymType('layperson', 'layperson term'), xrefs={Xref('https://orcid.org/0000-0001-5208-3432')})
HP:0000090	Nephronophthisis
HP:0000090	Synonym('juvenile nephronophthisis', scope='EXACT')
HP:0000091	Abnormal renal tubule morphology
HP:0000091	Synonym('Morphologic abnormality of the renal tubules', scope='EXACT')
HP:0000091	Synonym('Abnormality of the renal tubule', scope='EXACT')
HP:0000092	Renal tubular atrophy
HP:0000092	Synonym('Renal tubular cell atrophy', scope='EXACT')
HP:0000092	Synonym('Tubular atrophy', scope='EXACT')
HP:0000093	Proteinuria
HP:0000093	Synonym('Protein in urine', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0000093	Synonym('High urine protein levels', scope='EXACT', type=SynonymType('layperson', 'layperson term'), xrefs={Xref('https://orcid.org/0000-0001-5208-3432')})
HP:0000095	Abnormal renal glomerulus morphology
HP:0000095	Synonym('Abnormality of renal glomerulus morphology', scope='EXACT')
HP:0000095	Synonym('Morphologic abnormality of the renal glomerulus', scope='EXACT')
HP:0000096	Glomerular sclerosis
HP:0000096	Synonym('Renal glomerular fibrosis', scope='BROAD')
HP:0000096	Synonym('Glomerulosclerosis', scope='EXACT')
HP:0000097	Focal segmental glomerulosclerosis
HP:0000097	Synonym('Focal and segmental glomerular sclerosis', scope='EXACT')
HP:0000097	Synonym('Focal and segmental glomerulosclerosis', scope='EXACT')
HP:0000097	Synonym('focal glomerulosclerosis', scope='EXACT')
HP:0000098	Tall stature
HP:0000098	Synonym('Tall stature', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0000098	Synonym('Increased body height', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0000098	Synonym('Increased linear growth', scope='EXACT')
HP:0000098	Synonym('Accelerated linear growth', scope='EXACT')
HP:0000099	Glomerulonephritis
HP:0000099	Synonym('Glomerular nephritis', scope='EXACT')
HP:0000100	Nephrotic syndrome
HP:0000100	Synonym('Nephrosis', scope='EXACT')
HP:0000103	Polyuria
HP:0000103	Synonym('Increased urine output', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0000104	Renal agenesis
HP:0000104	Synonym('Absent kidney', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0000104	Synonym('Missing kidney', scope='EXACT', type=SynonymType('layperson', 'layperson term'), xrefs={Xref('https://orcid.org/0000-0001-6908-9849')})
HP:0000104	Synonym('Renal aplasia', scope='EXACT')
HP:0000105	Enlarged kidney
HP:0000105	Synonym('Large kidneys', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0000105	Synonym('Large kidney', scope='RELATED')
HP:0000105	Synonym('Enlarged kidney', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0000105	Synonym('Nephromegaly', scope='EXACT')
HP:0000105	Synonym('Renal enlargement', scope='EXACT')
HP:0000107	Renal cyst
HP:0000107	Synonym('Renal cysts', scope='RELATED', xrefs={Xref('https://orcid.org/0000-0002-5316-1399')})
HP:0000107	Synonym('Cystic kidney disease', scope='RELATED', type=SynonymType('layperson', 'layperson term'))
HP:0000107	Synonym('Cystic kidneys', scope='RELATED', type=SynonymType('layperson', 'layperson term'), xrefs={Xref('https://orcid.org/0000-0002-5316-1399')})
HP:0000107	Synonym('Kidney cyst', scope='EXACT', type=SynonymType('layperson', 'layperson term'), xrefs={Xref('https://orcid.org/0000-0002-6548-5200'), Xref('https://orcid.org/0000-0001-5208-3432')})
HP:0000108	Renal corticomedullary cysts
HP:0000108	Synonym('Renal corticomedullary cystic disease', scope='RELATED')
HP:0000108	Synonym('Corticomedullary renal cysts', scope='EXACT')
HP:0000110	Renal dysplasia
HP:0000110	Synonym('Dysplastic kidneys', scope='EXACT')
HP:0000110	Synonym('Renal adysplasia', scope='EXACT')
HP:0000111	Renal juxtaglomerular cell hypertrophy/hyperplasia
HP:0000112	Nephropathy
HP:0000112	Synonym('Kidney damage', scope='BROAD', type=SynonymType('layperson', 'layperson term'), xrefs={Xref('https://orcid.org/0000-0001-6908-9849')})
HP:0000112	Synonym('Kidney disease', scope='BROAD', type=SynonymType('layperson', 'layperson term'), xrefs={Xref('https://orcid.org/0000-0002-6548-5200'), Xref('https://orcid.org/0000-0001-5208-3432')})
HP:0000113	Polycystic kidney dysplasia
HP:0000113	Synonym('Polycystic kidney disease', scope='RELATED')
HP:0000113	Synonym('Polycystic kidneys', scope='EXACT')
HP:0000114	Proximal tubulopathy
HP:0000114	Synonym('Selective proximal tubular damage', scope='EXACT')
HP:0000114	Synonym('Proximal tubular defect', scope='EXACT')
HP:0000114	Synonym('Proximal renal tubulopathy', scope='EXACT')
HP:0000114	Synonym('Proximal renal tubule defect', scope='EXACT')
HP:0000114	Synonym('Proximal tubule dysfunction', scope='EXACT')
HP:0000117	Renal phosphate wasting
HP:0000117	Synonym('Tubular phosphate reabsorption low', scope='EXACT')
HP:0000117	Synonym('Decreased tubular maximum for phosphate reabsorption per glomerular filtration rate', scope='EXACT')
HP:0000117	Synonym('Decreased renal tubular phosphate reabsorption', scope='EXACT')
HP:0000118	Phenotypic abnormality
HP:0000118	Synonym('Organ abnormality', scope='EXACT')
HP:0000119	Abnormality of the genitourinary system
HP:0000119	Synonym('Genitourinary tract malformation', scope='EXACT')
HP:0000119	Synonym('Abnormality of the GU system', scope='EXACT', type=SynonymType('abbreviation', 'abbreviation'))
HP:0000119	Synonym('Genitourinary tract anomalies', scope='EXACT')
HP:0000119	Synonym('Urogenital abnormalities', scope='EXACT')
HP:0000119	Synonym('Genitourinary disease', scope='RELATED')
HP:0000119	Synonym('Genitourinary dysplasia', scope='RELATED')
HP:0000119	Synonym('Genitourinary abnormality', scope='EXACT')
HP:0000119	Synonym('Urogenital anomalies', scope='EXACT')
HP:0000121	Nephrocalcinosis
HP:0000121	Synonym('Increased calcium level in kidney', scope='RELATED', type=SynonymType('layperson', 'layperson term'), xrefs={Xref('https://orcid.org/0000-0001-5208-3432')})
HP:0000121	Synonym('Too much calcium deposited in kidneys', scope='EXACT', type=SynonymType('layperson', 'layperson term'), xrefs={Xref('https://orcid.org/0000-0002-6548-5200'), Xref('https://orcid.org/0000-0001-5208-3432')})
HP:0000122	Unilateral renal agenesis
HP:0000122	Synonym('Single kidney', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0000122	Synonym('Unilateral kidney agenesis', scope='EXACT')
HP:0000122	Synonym('Absent kidney on one side', scope='EXACT', type=SynonymType('layperson', 'layperson term'), xrefs={Xref('https://orcid.org/0000-0001-6908-9849')})
HP:0000122	Synonym('Missing one kidney', scope='EXACT', type=SynonymType('layperson', 'layperson term'), xrefs={Xref('https://orcid.org/0000-0001-6908-9849')})
HP:0000123	Nephritis
HP:0000123	Synonym('Kidney inflammation', scope='EXACT', type=SynonymType('layperson', 'layperson term'), xrefs={Xref('https://orcid.org/0000-0001-6908-9849')})
HP:0000124	Renal tubular dysfunction
HP:0000124	Synonym('Renal tubular defect', scope='EXACT')
HP:0000124	Synonym('Abnormal function of filtrating structures in kidney', scope='EXACT', type=SynonymType('layperson', 'layperson term'), xrefs={Xref('https://orcid.org/0000-0002-6548-5200')})
HP:0000124	Synonym('Renal tubular disease', scope='RELATED')
HP:0000125	Pelvic kidney
HP:0000125	Synonym('Sacral kidney', scope='EXACT', xrefs={Xref('https://orcid.org/0000-0001-6908-9849')})
HP:0000126	Hydronephrosis
HP:0000127	Renal salt wasting
HP:0000127	Synonym('Loss of salt in urine', scope='EXACT', type=SynonymType('layperson', 'layperson term'), xrefs={Xref('https://orcid.org/0000-0002-6548-5200')})
HP:0000127	Synonym('Renal salt-wasting', scope='EXACT')
HP:0000127	Synonym('Salt-wasting', scope='EXACT')
HP:0000127	Synonym('Salt wasting', scope='EXACT')
HP:0000128	Renal potassium wasting
HP:0000128	Synonym('Renal K wasting', scope='EXACT', type=SynonymType('abbreviation', 'abbreviation'))
HP:0000130	Abnormality of the uterus
HP:0000130	Synonym('Uterine malformations', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0000130	Synonym('Abnormality of the uterus', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0000130	Synonym('Uterine abnormalities', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0000131	Uterine leiomyoma
HP:0000131	Synonym('Uterine fibroid', scope='EXACT')
HP:0000131	Synonym('Benign uterine leiomyomas', scope='EXACT')
HP:0000132	Menorrhagia
HP:0000132	Synonym('Hypermenorrhea', scope='EXACT', xrefs={Xref('PMID:22594864')})
HP:0000132	Synonym('Abnormally heavy periods', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0000132	Synonym('Abnormally heavy bleeding during menstruation', scope='EXACT', type=SynonymType('layperson', 'layperson term'), xrefs={Xref('https://orcid.org/0000-0001-5208-3432')})
HP:0000768	Pectus carinatum
HP:0000768	Synonym('Pigeon chest', scope='EXACT', type=SynonymType('layperson', 'layperson term'), xrefs={Xref('https://orcid.org/0000-0001-5208-3432'), Xref('https://en.wikipedia.org/wiki/pectus_carinatum')})
HP:0000769	Abnormality of the breast
HP:0000769	Synonym('Abnormality of the breast', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0000771	Gynecomastia
HP:0000771	Synonym('Enlarged male breast', scope='EXACT', type=SynonymType('layperson', 'layperson term'), xrefs={Xref('https://orcid.org/0000-0002-6548-5200')})
HP:0000771	Synonym('Gynaecomastia', scope='EXACT')
HP:0000772	Abnormal rib morphology
HP:0000772	Synonym('Abnormality of the ribs', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0000772	Synonym('Rib abnormalities', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0000772	Synonym('Rib anomalies', scope='EXACT')
HP:0000773	Short ribs
HP:0000773	Synonym('Hypoplastic ribs', scope='EXACT')
HP:0000773	Synonym('Rib hypoplasia', scope='EXACT')
HP:0000773	Synonym('Short ribs', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0000774	Narrow chest
HP:0000774	Synonym('Narrow thorax', scope='EXACT')
HP:0000774	Synonym('Narrow shoulders', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
HP:0000774	Synonym('Narrow chest', scope='EXACT', type=SynonymType('layperson', 'layperson term'))
