,MIM Number,Preferred Title,symbol
52,102530,SPERMATOGENIC FAILURE 6, SPGF6
53,102540,"ACTIN, ALPHA, CARDIAC MUSCLE", ACTC1
54,102545,"ACTIN, GAMMA-2, SMOOTH MUSCLE, ENTERIC", ACTG2
55,102550,"ACTIN, BETA",
56,102560,"ACTIN, GAMMA-1", ACTG1
57,102565,FILAMIN C, FLNC
58,102570,TITLE NOT AVAILABLE AT THIS MOMENT,
59,102573,"ACTININ, ALPHA-2", ACTN2
60,102574,"ACTININ, ALPHA-3", ACTN3
61,102575,"ACTININ, ALPHA-1", ACTN1
62,102576,"ACTIVIN A RECEPTOR, TYPE I", ACVR1
63,102577,"REPLICATION FACTOR C, SUBUNIT 4", RFC4
64,102578,"ACUTE PROMYELOCYTIC LEUKEMIA, INDUCER OF", PML
65,102579,"REPLICATION FACTOR C, SUBUNIT 1", RFC1
66,102581,"ACTIVIN A RECEPTOR, TYPE IIA", ACVR2A
67,102582,SIGNAL TRANSDUCER AND ACTIVATOR OF TRANSCRIPTION 3, STAT3
68,102590,AMINOACYLASE 3,
69,102593,ACYLOXYACYL HYDROLASE, AOAH
70,102595,"ACYLPHOSPHATASE 2, MUSCLE TYPE", ACYP2
71,102600,ADENINE PHOSPHORIBOSYLTRANSFERASE, APRT
72,102610,"ACTIN, ALPHA-1, SKELETAL MUSCLE", ACTA1
73,102620,"ACTIN, ALPHA-2, SMOOTH MUSCLE, AORTA", ACTA2
74,102630,"ACTIN, BETA", ACTB
75,102640,"ACTIN, BETA",
76,102642,STEROL O-ACYLTRANSFERASE 1, SOAT1
77,102645,ACYLAMINOACYL-PEPTIDE HYDROLASE, APEH
78,102650,"ADACTYLIA, UNILATERAL",
79,102660,ADAMANTINOMA OF LONG BONES,
80,102670,MUCOSAL VASCULAR ADDRESSIN CELL ADHESION MOLECULE 1, MADCAM1
81,102680,ADDUCIN 1, ADD1
82,102681,ADDUCIN 2, ADD2
83,102699,ADENO-ASSOCIATED VIRUS INTEGRATION SITE 1, AAVS1
84,102700,"SEVERE COMBINED IMMUNODEFICIENCY, AUTOSOMAL RECESSIVE, T CELL-NEGATIVE, B CELL-NEGATIVE, NK CELL-NEGATIVE, DUE TO ADENOSINE DEAMINASE DEFICIENCY",
85,102710,DIPEPTIDYL PEPTIDASE IV,
86,102720,DIPEPTIDYL PEPTIDASE IV, DPP4
87,102730,"ANEMIA, CONGENITAL, NONSPHEROCYTIC HEMOLYTIC, 9",
88,102750,ADENOSINE KINASE, ADK
89,102770,ADENOSINE MONOPHOSPHATE DEAMINASE 1, AMPD1
90,102771,ADENOSINE MONOPHOSPHATE DEAMINASE 2, AMPD2
91,102772,ADENOSINE MONOPHOSPHATE DEAMINASE 3, AMPD3
92,102775,ADENOSINE A1 RECEPTOR, ADORA1
93,102776,ADENOSINE A2A RECEPTOR, ADORA2A
94,102777,ADENOSINE A2B RECEPTOR,
95,102800,"ANEMIA, CONGENITAL, NONSPHEROCYTIC HEMOLYTIC, 2",
96,102900,"ADENOSINE TRIPHOSPHATE, ELEVATED, OF ERYTHROCYTES",
97,102910,"ATP SYNTHASE F1, SUBUNIT BETA", ATP5F1B
98,102920,TITLE NOT AVAILABLE AT THIS MOMENT,
99,102930,TITLE NOT AVAILABLE AT THIS MOMENT,
100,102940,TITLE NOT AVAILABLE AT THIS MOMENT,
101,102970,TITLE NOT AVAILABLE AT THIS MOMENT,
102,102980,ADENYLATE CYCLASE-ACTIVATING POLYPEPTIDE 1, ADCYAP1
103,102981,"ADCYAP RECEPTOR, TYPE I", ADCYAP1R1
104,102990,"MALIGNANT HYPERTHERMIA, SUSCEPTIBILITY TO, 1",
105,103000,ADENYLATE KINASE 1, AK1
106,103020,ADENYLATE KINASE 2, AK2
107,103030,ADENYLATE KINASE 4, AK4
108,103050,ADENYLOSUCCINASE DEFICIENCY, ADSLD
109,103060,ADENYLOSUCCINATE SYNTHETASE, ADSS
110,103070,ADENYLATE CYCLASE 8, ADCY8
111,103071,ADENYLATE CYCLASE 2, ADCY2
112,103072,ADENYLATE CYCLASE 1, ADCY1
113,103100,ADIE PUPIL,
114,103180,ADP-RIBOSYLATION FACTOR 1, ARF1
115,103188,ADP-RIBOSYLATION FACTOR 5, ARF5
116,103190,ADP-RIBOSYLATION FACTOR 3, ARF3
117,103195,PERILIPIN 2, PLIN2
118,103200,ADIPOSIS DOLOROSA,
119,103220,"SOLUTE CARRIER FAMILY 25 (MITOCHONDRIAL CARRIER, ADENINE NUCLEOTIDE TRANSLOCATOR), MEMBER 4", SLC25A4
120,103230,"ADRENOCORTICAL HYPOFUNCTION, CHRONIC PRIMARY CONGENITAL",
121,103260,FERREDOXIN 1, FDX1
122,103270,FERREDOXIN REDUCTASE, FDXR
123,103275,ADRENOMEDULLIN, ADM
124,103280,"H19, IMPRINTED MATERNALLY EXPRESSED NONCODING TRANSCRIPT", H19
125,103285,ADULT SYNDROME,
126,103300,HYPOGLOSSIA-HYPODACTYLIA,
127,103320,AGRIN, AGRN
128,103321,DYSTROGLYCAN 1,
129,103390,AHNAK NUCLEOPROTEIN, AHNAK
130,103400,AINHUM,
131,103420,"ALACRIMA, CONGENITAL, AUTOSOMAL DOMINANT",
132,103470,"WAARDENBURG SYNDROME, TYPE 2A",
133,103500,TIETZ ALBINISM-DEAFNESS SYNDROME, TADS
134,103580,"PSEUDOHYPOPARATHYROIDISM, TYPE IA", PHP1A
135,103581,"PSEUDOHYPOPARATHYROIDISM, TYPE IA",
136,103600,ALBUMIN, ALB
137,103700,"ALCOHOL DEHYDROGENASE 1A, CLASS I, ALPHA POLYPEPTIDE", ADH1A
138,103710,"ALCOHOL DEHYDROGENASE 5, CHI POLYPEPTIDE", ADH5
139,103720,"ALCOHOL DEHYDROGENASE 1B, CLASS I, BETA POLYPEPTIDE", ADH1B
140,103730,"ALCOHOL DEHYDROGENASE 1C, GAMMA POLYPEPTIDE", ADH1C
141,103735,ALCOHOL DEHYDROGENASE 6, ADH6
142,103740,ALCOHOL DEHYDROGENASE 4, ADH4
143,103780,ALCOHOL DEPENDENCE,
144,103800,"MUCOPOLYSACCHARIDOSIS, TYPE VI",
145,103830,"ALDO-KETO REDUCTASE FAMILY 1, MEMBER A1", AKR1A1
146,103850,"ALDOLASE A, FRUCTOSE-BISPHOSPHATE", ALDOA
147,103870,"ALDOLASE C, FRUCTOSE-BISPHOSPHATE", ALDOC
148,103880,"ALDO-KETO REDUCTASE FAMILY 1, MEMBER B1", AKR1B1
149,103890,"ALDO-KETO REDUCTASE FAMILY 1, MEMBER B1",
150,103900,"HYPERALDOSTERONISM, FAMILIAL, TYPE I", HALD1
151,103920,"ALLERGIC BRONCHOPULMONARY ASPERGILLOSIS, FAMILIAL",
152,103950,ALPHA-2-MACROGLOBULIN, A2M
153,104000,ALOPECIA AREATA 1, AA1
154,104100,PALMOPLANTAR KERATODERMA AND CONGENITAL ALOPECIA 1, PPKCA1
155,104110,"ALOPECIA, FAMILIAL FOCAL", ALPF
156,104130,"ALOPECIA, PSYCHOMOTOR EPILEPSY, PYORRHEA, AND MENTAL SUBNORMALITY",
157,104145,AFAMIN, AFM
158,104150,ALPHA-FETOPROTEIN, AFP
159,104155,ZINC FINGER HOMEOBOX 3, ZFHX3
160,104160,"GLUCOSIDASE, ALPHA, NEUTRAL AB", GANAB
161,104170,N-ACETYL-ALPHA-D-GALACTOSAMINIDASE, NAGA
162,104175,"GLYCOPROTEIN, ALPHA-GALACTOSYLTRANSFERASE 1 PSEUDOGENE", GGTA1P
163,104180,"GLUCOSIDASE, ALPHA, NEUTRAL C", GANC
164,104200,"ALPORT SYNDROME 3A, AUTOSOMAL DOMINANT", ATS3A
165,104210,ALPHA-2A-ADRENERGIC RECEPTOR, ADRA2A
166,104219,ALPHA-1D-ADRENERGIC RECEPTOR, ADRA1D
167,104220,ALPHA-1B-ADRENERGIC RECEPTOR, ADRA1B
168,104221,ALPHA-1A-ADRENERGIC RECEPTOR, ADRA1A
169,104222,ALPHA-1D-ADRENERGIC RECEPTOR,
170,104225,LOW DENSITY LIPOPROTEIN RECEPTOR-RELATED PROTEIN-ASSOCIATED PROTEIN 1, LRPAP1
171,104230,FUCOSYLTRANSFERASE 4, FUT4
172,104240,"ST3 BETA-GALACTOSIDE ALPHA-2,3-SIALYLTRANSFERASE 4", ST3GAL4
173,104250,ALPHA-2C-ADRENERGIC RECEPTOR, ADRA2C
174,104260,ALPHA-2B-ADRENERGIC RECEPTOR, ADRA2B
175,104290,ALTERNATING HEMIPLEGIA OF CHILDHOOD 1, AHC1
176,104300,"ALZHEIMER DISEASE, FAMILIAL, 1", AD1
177,104310,ALZHEIMER DISEASE 2, AD2
178,104311,PRESENILIN 1, PSEN1
179,104350,"AMASTIA, BILATERAL, WITH URETERAL TRIPLICATION AND DYSMORPHISM",
180,104400,AMELIA AND TERMINAL TRANSVERSE HEMIMELIA,
181,104500,"AMELOGENESIS IMPERFECTA, TYPE IB", AI1B
182,104510,"AMELOGENESIS IMPERFECTA, TYPE IV", AI4
183,104530,"AMELOGENESIS IMPERFECTA, TYPE IA", AI1A
184,104570,AMELOONYCHOHYPOHIDROTIC SYNDROME,
185,104600,AMENORRHEA-GALACTORRHEA SYNDROME,
186,104610,"AMINE OXIDASE, COPPER-CONTAINING, 1", AOC1
187,104613,"CHAPERONIN CONTAINING T-COMPLEX POLYPEPTIDE 1, SUBUNIT 6A", CCT6A
188,104614,"SOLUTE CARRIER FAMILY 3 (CYSTINE, DIBASIC, AND NEUTRAL AMINO ACID TRANSPORTER), MEMBER 1", SLC3A1
189,104615,"SOLUTE CARRIER FAMILY 7 (CATIONIC AMINO ACID TRANSPORTER, y+ SYSTEM), MEMBER 1", SLC7A1
190,104620,AMINOACYLASE 1, ACY1
191,104640,AMPHIREGULIN, AREG
192,104650,"AMYLASE, PANCREATIC, A", AMY2A
193,104660,"AMYLASE, PANCREATIC, B", AMY2B
194,104700,"AMYLASE, SALIVARY, A", AMY1A
195,104701,"AMYLASE, SALIVARY, B", AMY1B
196,104702,"AMYLASE, SALIVARY, C", AMY1C
197,104740,"AMYLOID BETA A4 PRECURSOR PROTEIN-BINDING, FAMILY A, MEMBER 1",
198,104750,SERUM AMYLOID A1, SAA1
199,104751,SERUM AMYLOID A2, SAA2
200,104752,SERUM AMYLOID A4, SAA4
201,104760,AMYLOID BETA A4 PRECURSOR PROTEIN, APP
202,104770,"AMYLOID P COMPONENT, SERUM", APCS
203,104775,AMYLOID BETA A4 PRECURSOR-LIKE PROTEIN 1, APLP1
204,104776,AMYLOID BETA A4 PRECURSOR-LIKE PROTEIN 2, APLP2
205,105120,"AMYLOIDOSIS, FINNISH TYPE",
206,105150,"CEREBRAL AMYLOID ANGIOPATHY, CST3-RELATED",
207,105200,"AMYLOIDOSIS, HEREDITARY SYSTEMIC 2", AMYLD2
208,105210,"AMYLOIDOSIS, HEREDITARY SYSTEMIC 1", AMYLD1
209,105250,"AMYLOIDOSIS, PRIMARY LOCALIZED CUTANEOUS, 1", PLCA1
210,105300,AMYOTROPHIC DYSTONIC PARAPLEGIA,
211,105400,AMYOTROPHIC LATERAL SCLEROSIS 1, ALS1
212,105500,AMYOTROPHIC LATERAL SCLEROSIS-PARKINSONISM/DEMENTIA COMPLEX 1,
213,105550,FRONTOTEMPORAL DEMENTIA AND/OR AMYOTROPHIC LATERAL SCLEROSIS 1, FTDALS1
214,105563,ANAL SPHINCTER DYSPLASIA, ASDP
215,105565,"ANAL SPHINCTER MYOPATHY, INTERNAL",
216,105570,"ANDROSTENONE, ABILITY TO SMELL",
217,105580,ANAL CANAL CARCINOMA,
218,105590,ALK RECEPTOR TYROSINE KINASE, ALK
219,105600,"ANEMIA, CONGENITAL DYSERYTHROPOIETIC, TYPE IIIa", CDAN3A
220,105650,DIAMOND-BLACKFAN ANEMIA 1, DBA1
221,105800,"ANEURYSM, INTRACRANIAL BERRY, 1", ANIB1
222,105805,ANEURYSM OF INTERVENTRICULAR SEPTUM,
223,105830,ANGELMAN SYNDROME, AS
224,105835,ANGEL-SHAPED PHALANGOEPIPHYSEAL DYSPLASIA, ASPED
225,105850,ANGIOGENIN, ANG
226,106050,"ANGIOMA SERPIGINOSUM, AUTOSOMAL DOMINANT",
227,106070,"ANGIOMA, HEREDITARY NEUROCUTANEOUS",
228,106100,"ANGIOEDEMA, HEREDITARY, 1", HAE1
229,106150,ANGIOTENSINOGEN, AGT
230,106160,"ANGIOTENSIN II RECEPTOR, TYPE 1",
231,106165,"ANGIOTENSIN II RECEPTOR, TYPE 1", AGTR1
232,106180,ANGIOTENSIN I-CONVERTING ENZYME, ACE
233,106190,"ANHIDROSIS, ISOLATED, WITH NORMAL SWEAT GLANDS", ANHD
234,106195,"SOLUTE CARRIER FAMILY 4 (ANION EXCHANGER), MEMBER 3", SLC4A3
235,106200,ANIRIDIA 1,
236,106210,ANIRIDIA 1, AN1
237,106220,ANIRIDIA AND ABSENT PATELLA,
238,106230,"ANIRIDIA, MICROCORNEA, AND SPONTANEOUSLY REABSORBED CATARACT",
239,106240,ANISOCORIA,
240,106250,ANKYLOBLEPHARON FILIFORME ADNATUM AND CLEFT PALATE, AFA
241,106260,ANKYLOBLEPHARON-ECTODERMAL DEFECTS-CLEFT LIP/PALATE, AEC
242,106280,ANKYLOGLOSSIA WITH OR WITHOUT TOOTH ANOMALIES, ANKG
243,106300,"SPONDYLOARTHROPATHY, SUSCEPTIBILITY TO, 1", SPDA1
244,106400,ANKYLOSING VERTEBRAL HYPEROSTOSIS WITH TYLOSIS,
245,106410,ANKYRIN 2, ANK2
246,106490,ANNEXIN A3, ANXA3
247,106491,ANNEXIN A4, ANXA4
248,106500,ANNULAR ERYTHEMA,
249,106600,"TOOTH AGENESIS, SELECTIVE, 1", STHAG1
250,106700,TOTAL ANOMALOUS PULMONARY VENOUS RETURN 1, TAPVR1
251,106750,ANONYCHIA WITH FLEXURAL PIGMENTATION,
252,106900,ANONYCHIA-ECTRODACTYLY,
253,106990,ANONYCHIA-ONYCHODYSTROPHY WITH BRACHYDACTYLY TYPE B AND ECTRODACTYLY,
254,106995,ANONYCHIA-ONYCHODYSTROPHY WITH HYPOPLASIA OR ABSENCE OF DISTAL PHALANGES,
255,107000,"NAIL DISORDER, NONSYNDROMIC CONGENITAL, 6", NDNC6
256,107100,ANORECTAL ANOMALIES,
257,107200,"ANOSMIA, ISOLATED CONGENITAL", ANIC
258,107240,"CELL ADHESION MOLECULE, NEURAL, 1",
259,107250,ANTERIOR SEGMENT DYSGENESIS 1, ASGD1
260,107253,TITLE NOT AVAILABLE AT THIS MOMENT,
261,107254,ANTIGEN IDENTIFIED BY MONOCLONAL ANTIBODY 30.2A8, MIC12
262,107257,CD9 ANTIGEN,
263,107260,ANTIGEN MSK41 IDENTIFIED BY MONOCLONAL ANTIBODY E3, MSK41
264,107265,CD19 ANTIGEN, CD19
265,107266,CD22 ANTIGEN, CD22
266,107269,CD44 ANTIGEN, CD44
267,107270,CD38 ANTIGEN, CD38
268,107271,CD59 ANTIGEN, CD59
269,107272,CD72 ANTIGEN, CD72
270,107273,CD69 ANTIGEN, CD69
271,107280,"SERPIN PEPTIDASE INHIBITOR, CLADE A, MEMBER 3", SERPINA3
272,107285,SECRETORY LEUKOCYTE PROTEASE INHIBITOR, SLPI
273,107290,ANTIPYRINE METABOLISM,
274,107300,"SERPIN PEPTIDASE INHIBITOR, CLADE C (ANTITHROMBIN), MEMBER 1", SERPINC1
275,107310,"SOLUTE CARRIER FAMILY 9, MEMBER 1", SLC9A1
276,107320,"ANTIPHOSPHOLIPID SYNDROME, FAMILIAL",
277,107323,"ALDEHYDE DEHYDROGENASE 7 FAMILY, MEMBER A1", ALDH7A1
278,107325,"POLYMERASE I, RNA, SUBUNIT G", POLR1G
279,107400,"SERPIN PEPTIDASE INHIBITOR, CLADE A, MEMBER 1", SERPINA1
280,107410,"SERPIN PEPTIDASE INHIBITOR, CLADE A, MEMBER 2, PSEUDOGENE", SERPINA2P
281,107440,"ANTIVIRAL STATE REPRESSOR, REGULATOR OF", AVRR
282,107450,"INTERFERON-ALPHA, -BETA, AND -OMEGA RECEPTOR 1", IFNAR1
283,107460,"INTERFERON-ALPHA, -BETA, AND -OMEGA RECEPTOR 1",
284,107470,INTERFERON-GAMMA RECEPTOR 1, IFNGR1
285,107480,TOWNES-BROCKS SYNDROME 1, TBS1
286,107500,AORTIC ARCH ANOMALY WITH PECULIAR FACIES AND IMPAIRED INTELLECTUAL DEVELOPMENT,
287,107550,"AORTIC ARCH INTERRUPTION, FACIAL PALSY, AND RETINAL COLOBOMA",
288,107580,TRANSCRIPTION FACTOR AP2-ALPHA, TFAP2A
289,107600,"APLASIA CUTIS CONGENITA, NONSYNDROMIC", ACC
290,107601,ADAMS-OLIVER SYNDROME 1,
291,107640,"APNEA, CENTRAL SLEEP",
292,107650,"APNEA, OBSTRUCTIVE SLEEP",
293,107670,APOLIPOPROTEIN A-II, APOA2
294,107680,APOLIPOPROTEIN A-I, APOA1
295,107690,APOLIPOPROTEIN A-IV, APOA4
296,107700,"APPENDICITIS, PRONENESS TO",
297,107710,APOLIPOPROTEIN C-I, APOC1
298,107720,APOLIPOPROTEIN C-III, APOC3
299,107730,APOLIPOPROTEIN B, APOB
300,107740,APOLIPOPROTEIN D, APOD
301,107741,APOLIPOPROTEIN E, APOE
302,107748,APEX NUCLEASE 1, APEX1
303,107750,ARBITRARY RESTRICTION POLYMORPHISM 1,
304,107760,APOLIPOPROTEIN F, APOF
305,107770,LOW DENSITY LIPOPROTEIN RECEPTOR-RELATED PROTEIN 1, LRP1
306,107773,"NUCLEAR RECEPTOR SUBFAMILY 2, GROUP F, MEMBER 2", NR2F2
307,107776,AQUAPORIN 1, AQP1
308,107777,AQUAPORIN 2, AQP2
309,107800,ARCUS CORNEAE,
310,107820,ARGINYL-tRNA SYNTHETASE 1, RARS1
311,107830,ARGINASE 2, ARG2
312,107840,"CITRULLINEMIA, CLASSIC",
313,107850,ARM FOLDING PREFERENCE,
314,107900,"ARMS, MALFORMATION OF",
315,107910,"CYTOCHROME P450, FAMILY 19, SUBFAMILY A, POLYPEPTIDE 1", CYP19A1
316,107920,MALATE DEHYDROGENASE 1,
317,107930,DOPA DECARBOXYLASE, DDC
318,107940,"ARRESTIN, BETA, 1", ARRB1
319,107941,"ARRESTIN, BETA, 2", ARRB2
320,107950,"GOITER, MULTINODULAR 1, WITH OR WITHOUT SERTOLI-LEYDIG CELL TUMORS",
321,107970,"ARRHYTHMOGENIC RIGHT VENTRICULAR DYSPLASIA, FAMILIAL, 1", ARVD1
322,108000,"ARTERIES, ANOMALIES OF",
323,108010,ARTERIOVENOUS MALFORMATIONS OF THE BRAIN,
324,108050,"ARTERITIS, FAMILIAL GRANULOMATOUS, WITH JUVENILE POLYARTHRITIS",
325,108100,"ARTHRITIS, SACROILIAC",
326,108110,"ARTHROGRYPOSIS, DISTAL, TYPE 1A",
327,108120,"ARTHROGRYPOSIS, DISTAL, TYPE 1A", DA1A
328,108130,"ARTHROGRYPOSIS, DISTAL, TYPE 2B1",
329,108140,"ARTHROGRYPOSIS, DISTAL, TYPE 2B1",
330,108145,"ARTHROGRYPOSIS, DISTAL, TYPE 5", DA5
331,108200,"ARTHROGRYPOSIS, DISTAL, TYPE 6", DA6
332,108300,"STICKLER SYNDROME, TYPE I", STL1
333,108320,"ARTICHOKE, MODIFICATION OF TASTE BY",
334,108330,"CYTOCHROME P450, SUBFAMILY I, POLYPEPTIDE 1", CYP1A1
335,108340,ARYL HYDROCARBON HYDROXYLASE INDUCIBILITY,
336,108345,N-ACETYLTRANSFERASE 1, NAT1
337,108355,GROWTH FACTOR RECEPTOR-BOUND PROTEIN 2, GRB2
338,108360,ASIALOGLYCOPROTEIN RECEPTOR 1, ASGR1
339,108361,ASIALOGLYCOPROTEIN RECEPTOR 2, ASGR2
340,108370,ASPARAGINE SYNTHETASE, ASNS
341,108390,"ASPARAGUS, SPECIFIC SMELL HYPERSENSITIVITY",
342,108400,TITLE NOT AVAILABLE AT THIS MOMENT,
343,108410,ASPARAGINYL-tRNA SYNTHETASE 1, NARS1
344,108420,SPERMATOGENIC FAILURE 2, SPGF2
345,108450,ASYMMETRIC SHORT STATURE SYNDROME,
346,108500,"EPISODIC ATAXIA, TYPE 2", EA2
347,108600,"SPASTIC ATAXIA 1, AUTOSOMAL DOMINANT", SPAX1
348,108650,"SPASTIC ATAXIA 7, AUTOSOMAL DOMINANT", SPAX7
349,108700,ATAXIA WITH FASCICULATIONS,
350,108720,"ATELOSTEOGENESIS, TYPE I", AO1
351,108721,"ATELOSTEOGENESIS, TYPE III", AO3
352,108725,ATHEROSCLEROSIS SUSCEPTIBILITY, ATHS
353,108728,ATP CITRATE LYASE, ACLY
354,108729,"ATP SYNTHASE F1, SUBUNIT GAMMA", ATP5F1C
355,108730,"ATPase, Ca(2+)-TRANSPORTING, FAST-TWITCH 1", ATP2A1
356,108731,"ATPase, Ca(2+)-TRANSPORTING, PLASMA MEMBRANE, 1", ATP2B1
357,108732,"ATPase, Ca(2+)-TRANSPORTING, PLASMA MEMBRANE, 4", ATP2B4
358,108733,"ATPase, Ca(2+)-TRANSPORTING, PLASMA MEMBRANE, 2", ATP2B2
359,108740,"ATPase, Ca(2+)-TRANSPORTING, SLOW-TWITCH", ATP2A2
360,108745,"ATPase, H+ TRANSPORTING, LYSOSOMAL, 16-KD, V0 SUBUNIT C", ATP6V0C
361,108746,"ATPase, H+ TRANSPORTING, LYSOSOMAL, 31-KD, V1 SUBUNIT E, ISOFORM 1", ATP6V1E1
362,108760,ATRESIA OF EXTERNAL AUDITORY CANAL AND CONDUCTIVE DEAFNESS,
363,108770,ATRIAL STANDSTILL 1, ATRST1
364,108780,NATRIURETIC PEPTIDE PRECURSOR A, NPPA
365,108800,ATRIAL SEPTAL DEFECT 1, ASD1
366,108900,ATRIAL SEPTAL DEFECT 7 WITH OR WITHOUT ATRIOVENTRICULAR CONDUCTION DEFECTS, ASD7
367,108950,ATRIAL TACHYARRHYTHMIA WITH SHORT PR INTERVAL,
368,108960,NATRIURETIC PEPTIDE RECEPTOR A/GUANYLATE CYCLASE A, NPR1
369,108961,NATRIURETIC PEPTIDE RECEPTOR 2, NPR2
370,108962,NATRIURETIC PEPTIDE RECEPTOR C, NPR3
371,108970,MEMBRANE METALLOENDOPEPTIDASE,
372,108980,"PR INTERVAL, VARIATION IN",
373,108985,SVEINSSON CHORIORETINAL ATROPHY, SCRA
374,108990,ATTACHED CELL ANTIGEN 28.3.7, MIC7
375,109000,AURICULOOSTEODYSPLASIA,
376,109050,AUROCEPHALOSYNDACTYLY,
377,109090,SMALL RNA-BINDING EXONUCLEASE PROTECTION FACTOR La, SSB
378,109091,CALRETICULIN, CALR
379,109092,TRIPARTITE MOTIF-CONTAINING PROTEIN 21, TRIM21
380,109100,AUTOIMMUNE DISEASE,
381,109110,AUTONOMOUSLY REPLICATING SEQUENCE 1,
382,109120,"AXENFELD-RIEGER ANOMALY WITH PARTIALLY ABSENT EYE MUSCLES, DISTINCTIVE FACE, HYDROCEPHALY, AND SKELETAL ABNORMALITIES",
383,109130,AXIAL OSTEOMALACIA,
384,109135,AXL RECEPTOR TYROSINE KINASE, AXL
385,109150,MACHADO-JOSEPH DISEASE, MJD
386,109160,"AZOTEMIA, FAMILIAL",
387,109170,LEUKOCYTE-SPECIFIC TRANSCRIPT 1, LST1
388,109180,BABOON M7 VIRUS INTEGRATION SITE, BEVI
389,109190,"SOLUTE CARRIER FAMILY 1 (NEUTRAL AMINO ACID TRANSPORTER), MEMBER 5", SLC1A5
390,109195,BACTERICIDAL PERMEABILITY-INCREASING PROTEIN, BPI
391,109200,"ALOPECIA, ANDROGENETIC, 1", AGA1
392,109270,"SOLUTE CARRIER FAMILY 4 (ANION EXCHANGER), MEMBER 1", SLC4A1
393,109280,"SOLUTE CARRIER FAMILY 4 (ANION EXCHANGER), MEMBER 2", SLC4A2
394,109300,BANKI SYNDROME,
395,109350,GASTROESOPHAGEAL REFLUX, GER
396,109390,BAZEX-DUPRE-CHRISTOL SYNDROME,
397,109400,BASAL CELL NEVUS SYNDROME 1, BCNS1
398,109480,BASIGIN, BSG
399,109500,"BASILAR IMPRESSION, PRIMARY",
400,109530,CD48 ANTIGEN, CD48
